Date,Total_Sales,Fuel_P_max,CPI_min,Temperature_avg
31-12-2010,40432519.0,3.336,127.0876774,36.782666666666664
31-08-2012,47159639.43,4.093,130.8853548,77.79355555555556
30-12-2011,46042461.04,3.566,130.0710323,37.92622222222222
30-09-2011,42195830.81,3.877,129.6060667,72.78822222222223
30-07-2010,44630363.42,3.017,126.1069032,79.15222222222222
30-04-2010,43705126.71,3.105,126.3805667,57.85466666666667
30-03-2012,45272862.02,4.294,130.9670968,57.528444444444446
29-10-2010,43602830.95,3.13,126.4364194,59.18577777777778
29-07-2011,43683274.28,4.004,129.1677097,81.208
29-06-2012,46597112.12,3.875,130.7562667,80.3531111111111
29-04-2011,43530032.78,4.151,128.9998667,62.13977777777778
28-10-2011,45855821.05,3.843,129.7936774,56.468888888888884
28-09-2012,43734899.4,4.158,131.043,68.75444444444445
28-05-2010,47757502.56,3.058,126.1602258,70.46022222222223
28-01-2011,39599852.99,3.402,127.5800323,34.06444444444445
27-08-2010,45909740.44,3.129,126.0892903,76.73733333333332
27-07-2012,44097154.97,3.82,130.7195806,79.84422222222223
27-05-2011,45293457.04,4.134,129.0623548,69.53222222222222
27-04-2012,43716798.89,4.193,131.1266667,62.776222222222216
27-01-2012,39834974.67,3.737,130.3144516,42.726
26-11-2010,65821003.24,3.186,126.6692667,47.88955555555556
26-10-2012,45544116.29,4.301,131.1930968,61.00326086956522
26-08-2011,47416948.45,3.906,129.2832581,80.162
26-03-2010,44133961.05,3.083,126.6050645,48.473555555555556
26-02-2010,43968571.13,2.91,126.5522857,39.24355555555556
25-11-2011,66593605.26,3.76,129.8364,49.62755555555555
25-06-2010,46609036.29,3.084,126.1266,78.78822222222222
25-05-2012,47892463.31,4.293,131.0287742,71.79555555555557
25-03-2011,42876199.18,3.909,128.6160645,51.608666666666664
25-02-2011,44125859.839999996,3.53,128.13,43.15533333333333
24-12-2010,80931415.6,3.309,126.9835806,41.17733333333334
24-09-2010,41358514.41,2.939,126.1900333,71.07955555555556
24-08-2012,47447323.6,4.055,130.8381613,74.59288888888888
24-06-2011,45884094.58,3.964,129.0663,76.24422222222222
24-02-2012,45771506.57,3.95,130.5502069,45.123999999999995
23-12-2011,76998241.31,3.587,129.9845484,39.611777777777775
23-09-2011,42718096.73,3.899,129.5183333,68.67133333333334
23-07-2010,44888849.11,3.112,126.1283548,81.13111111111111
23-04-2010,44734452.56,3.05,126.4713333,57.08955555555555
23-03-2012,44993794.45,4.288,130.8966452,57.14022222222222
22-10-2010,43066669.519999996,3.049,126.3815484,59.13088888888888
22-07-2011,45274411.39,3.972,129.1507742,82.17644444444444
22-06-2012,47668284.97,4.014,130.7929,77.76911111111112
22-04-2011,48676692.06,4.134,128.9553,59.20533333333333
21-10-2011,45818953.44,3.842,129.7821613,60.89555555555556
21-09-2012,44354547.11,4.203,131.0103333,67.92488888888889
21-05-2010,45120108.06,3.12,126.1843871,66.26266666666668
21-01-2011,40654648.03,3.391,127.4404839,37.522222222222226
20-08-2010,47060952.92,3.041,126.0766452,79.46355555555556
20-07-2012,46059543.45,3.732,130.7012903,78.77644444444445
20-05-2011,44046598.01,4.202,129.0756774,62.41555555555555
20-04-2012,45072529.78,4.222,131.1173333,61.355555555555554
20-01-2012,42080996.56,3.705,130.2792258,39.74177777777778
19-11-2010,45125584.18,3.161,126.6072,48.14244444444444
19-10-2012,45122410.57,4.449,131.1499677,60.70533333333333
19-08-2011,46917347.62,3.942,129.2405806,79.15666666666667
19-03-2010,44988974.64,3.054,126.6066452,49.95422222222222
19-02-2010,48276993.78,2.915,126.5262857,37.71977777777778
18-11-2011,46438980.56,3.813,129.8268333,52.19155555555555
18-06-2010,47622046.23,3.043,126.114,73.56933333333333
18-05-2012,46823939.22,4.308,131.0983226,67.63822222222223
18-03-2011,44872325.97,3.892,128.5121935,52.976444444444446
18-02-2011,48716164.12,3.43,127.99525,45.88377777777778
17-12-2010,61820799.85,3.301,126.8794839,40.35177777777778
17-09-2010,43080726.51,3.028,126.1454667,71.23377777777777
17-08-2012,47354452.05,4.002,130.7909677,79.43222222222222
17-06-2011,47447561.77,3.989,129.0432,74.87511111111111
17-02-2012,50197056.96,3.874,130.4546207,40.20333333333333
16-12-2011,60085695.94,3.611,129.8980645,41.065555555555555
16-09-2011,43793960.08,3.937,129.4306,71.04422222222223
16-07-2010,46243899.58,3.094,126.1498065,80.40844444444444
16-04-2010,45183667.08,3.109,126.5621,58.021111111111104
16-03-2012,46901504.94,4.273,130.8261935,54.742222222222225
15-10-2010,43149473.45,3.08,126.3266774,60.890888888888895
15-07-2011,45515929.92,3.915,129.1338387,79.96711111111111
15-06-2012,48412110.7,4.144,130.8295333,75.04644444444445
15-04-2011,44973328.14,4.089,128.9107333,56.95333333333333
14-10-2011,44374820.3,3.805,129.7706452,63.019555555555556
14-09-2012,44226038.65,4.133,130.9776667,70.23822222222222
14-05-2010,45330080.2,3.145,126.2085484,60.60955555555555
14-01-2011,40673678.04,3.367,127.3009355,30.689555555555554
13-08-2010,46464418.410000004,3.159,126.064,79.48244444444444
13-07-2012,46099732.1,3.723,130.683,78.93866666666666
13-05-2011,45446144.82,4.211,129.089,65.01066666666667
13-04-2012,46629261.41,4.254,131.108,58.30066666666667
13-01-2012,42023078.48,3.666,130.244,39.69022222222222
12-11-2010,46124800.83,3.13,126.5461613,50.39977777777777
12-10-2012,46128514.25,4.468,131.1083333,58.342666666666666
12-08-2011,46249569.21,3.995,129.2015806,80.46
12-03-2010,45925396.51,3.034,126.6042857,47.43244444444444
12-02-2010,48336677.63,2.946,126.4962581,34.15133333333333
11-11-2011,48474224.75,3.824,129.8167097,49.11244444444444
11-06-2010,47826546.72,3.057,126.1119032,74.53777777777778
11-05-2012,46925878.99,4.186,131.1453333,64.838
11-03-2011,44627319.4,3.818,128.3995,47.099555555555554
11-02-2011,47336192.79,3.416,127.859129,32.159111111111116
10-12-2010,55666770.39,3.255,126.7934,39.16511111111111
10-09-2010,45634397.839999996,3.044,126.1145806,72.44977777777777
10-08-2012,47403451.04,3.863,130.7561613,81.58022222222222
10-06-2011,47669734.66,4.025,129.0357097,74.80177777777777
10-02-2012,50009407.92,3.826,130.3849032,39.848
09-12-2011,55561147.7,3.644,129.8555333,38.20911111111111
09-09-2011,46763227.53,3.93,129.3686129,73.44755555555555
09-07-2010,47899529.37,3.1,126.1518,78.91244444444445
09-04-2010,47365290.44,3.09,126.6019032,58.42066666666666
09-03-2012,47480454.11,4.25,130.7413793,47.550888888888885
08-10-2010,45102974.23,3.013,126.2791667,61.734
08-07-2011,47859263.78,3.886,129.1125,79.95422222222223
08-06-2012,49651171.78,4.103,130.8896774,71.99133333333333
08-04-2011,45887466.8,4.003,128.8238065,55.62733333333333
07-10-2011,47211688.36,3.827,129.6938,63.03644444444444
07-09-2012,48330059.31,4.124,130.9325484,78.03866666666666
07-05-2010,48503243.52,3.127,126.2898,64.12511111111111
07-01-2011,42775787.769999996,3.351,127.1917742,35.272666666666666
06-08-2010,48204999.12,3.123,126.0854516,79.99555555555555
06-07-2012,51253021.88,3.765,130.7196333,80.05466666666666
06-05-2011,46861958.29,4.193,129.0444333,58.175111111111114
06-04-2012,53502315.87,4.282,131.0375484,57.00222222222222
06-01-2012,44955421.95,3.599,130.1575161,41.13333333333333
05-11-2010,45781981.89,3.129,126.4912903,52.68288888888889
05-10-2012,47566639.31,4.151,131.0756667,65.97311111111111
05-08-2011,48015466.97,4.02,129.1846452,81.36666666666666
05-03-2010,46871470.3,2.987,126.5782857,42.91733333333333
05-02-2010,49750740.5,2.962,126.4420645,34.037333333333336
04-11-2011,48655544.3,3.828,129.8051935,49.2
04-06-2010,50188543.12,3.006,126.1360645,73.41088888888889
04-05-2012,47124197.93,4.171,131.136,64.676
04-03-2011,46980603.74,3.674,128.26475,44.775333333333336
04-02-2011,46153111.12,3.4,127.7195806,30.48088888888889
03-12-2010,49909027.88,3.2,126.7313333,41.590888888888884
03-09-2010,47194257.61,3.087,126.1019355,76.44222222222223
03-08-2012,47485899.56,3.819,130.737871,80.33644444444444
03-06-2011,48771994.18,4.069,129.0490323,73.37422222222223
03-02-2012,46085608.09,3.796,130.3496774,44.80444444444444
02-12-2011,49390556.49,3.701,129.8459667,45.922
02-09-2011,45376623.27,3.879,129.3259355,79.29622222222223
02-07-2010,48917484.5,3.105,126.1392,77.13333333333334
02-04-2010,50423831.26,3.086,126.6034839,53.12088888888889
02-03-2012,46861034.97,4.178,130.6457931,45.486444444444444
01-10-2010,42239875.87,3.001,126.2346,69.868
01-07-2011,47578519.5,3.916,129.0894,78.75911111111111
01-06-2012,48281649.72,4.277,130.9592258,72.94377777777777
01-04-2011,43458991.19,3.811,128.7199355,48.736444444444444
