"match_id","league_id","home_team_id","away_team_id","match_date","match_time","stadium_name","referee_name","home_goals","away_goals","status","attendance"
1,1,1,2,"2024-01-15","15:00:00","Old Trafford","Anthony Taylor",2,2,"Completed",73242
2,1,3,5,"2024-01-15","15:00:00","Etihad Stadium","Stuart Attwell",3,1,"Completed",55000
3,1,4,6,"2024-01-16","19:45:00","Stamford Bridge","Michael Oliver",2,0,"Completed",63000
4,1,7,8,"2024-01-16","20:00:00","St James Park","Bobby Madley",1,1,"Completed",52000
5,2,9,10,"2024-01-20","21:00:00","Estadio Santiago Bernabéu","Carlos del Cerro",2,1,"Completed",81000
6,2,10,11,"2024-01-21","20:45:00","Camp Nou","Alejandro Hernández",3,2,"Completed",99000
7,2,11,12,"2024-01-22","20:30:00","Wanda Metropolitano","Francisco Cuadra",1,0,"Completed",68000
8,3,13,14,"2024-01-25","20:45:00","Allianz Stadium","Pierluigi Collina",2,1,"Completed",41500
9,3,14,15,"2024-01-26","20:45:00","San Siro","Gianluca Rocchi",0,0,"Completed",75000
10,4,21,22,"2024-01-28","15:30:00","Allianz Arena","Manuel Gräfe",3,1,"Completed",75000
11,4,22,23,"2024-01-29","15:30:00","Signal Iduna Park","Bastian Dankert",2,2,"Completed",81000
12,5,29,30,"2024-02-03","20:45:00","Parc des Princes","Clement Turpin",2,0,"Completed",47929
13,1,1,3,"2024-03-05","15:00:00","Old Trafford","Craig Pawson",NULL,NULL,"Scheduled",0
14,2,9,11,"2024-03-10","21:00:00","Estadio Santiago Bernabéu","Mateu Lahoz",NULL,NULL,"Scheduled",0
15,5,29,31,"2024-03-15","20:00:00","Parc des Princes","Jerome Brisard",NULL,NULL,"Scheduled",0
